Прогноз погоды в Нижнем Новгороде:
№	Время		Температура	Осадки
1	00:00	6.6°C		0.0 мм
2	01:00	6.4°C		0.0 мм
3	02:00	6.1°C		0.0 мм
4	03:00	5.0°C		0.0 мм
5	04:00	5.0°C		0.0 мм
6	05:00	5.1°C		0.0 мм
7	06:00	5.7°C		0.0 мм
8	07:00	7.4°C		0.0 мм
9	08:00	8.9°C		0.0 мм
10	09:00	10.1°C		0.0 мм
11	10:00	11.4°C		0.0 мм
12	11:00	11.7°C		0.0 мм
13	12:00	11.5°C		0.0 мм
14	13:00	12.0°C		0.0 мм
15	14:00	12.5°C		0.0 мм
16	15:00	12.3°C		0.0 мм
17	16:00	11.8°C		0.0 мм
18	17:00	12.0°C		0.0 мм
19	18:00	11.8°C		0.0 мм
20	19:00	11.1°C		0.0 мм
21	20:00	9.8°C		0.0 мм
22	21:00	9.1°C		0.0 мм
23	22:00	8.1°C		0.0 мм
24	23:00	7.4°C		0.0 мм
